source_id,city,sub_market,locality,property_type,bhk,area_sqft,floor,total_floors,furnishing,facing,bathroom,has_parking,has_lift,has_clubhouse,has_pool,has_gym,has_security,has_power_backup,rera_approved,possession_status,listed_price,project_name,developer,age_years,age_years_is_estimated,total_floors_is_estimated,floor_is_estimated
12685,Mumbai,Thane,Kalyan West,Apartment,1,375.0,5.0,14.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,3150000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12684,Mumbai,Thane,Kalyan West,Apartment,2,579.0,20.0,34.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Ready to Move,6300000.0,Tata Amantra,TATA Housing Development Company Ltd.,3,True,False,False
12683,Mumbai,Thane,Kalyan West,Apartment,2,585.0,18.0,18.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Ready to Move,5400000.0,Sai Satyam Homes,Sai Satyam Developers,3,True,False,False
12682,Mumbai,Thane,Kalyan West,Apartment,2,815.0,5.0,27.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,9000000.0,Birla Vanya,Birla Estates,0,True,False,False
12681,Mumbai,Thane,Kalyan West,Apartment,1,419.0,8.0,26.0,Semi-Furnished,East,2.0,False,True,True,True,True,True,True,True,Under Construction,4950000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12680,Mumbai,Thane,Kalyan West,Apartment,2,667.0,16.0,18.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,6570000.0,Tycoons Solitaire Sapphire,Tycoons Group,0,True,False,False
12679,Mumbai,Thane,Kalyan West,Apartment,2,550.0,1.0,7.0,Unfurnished,East,2.0,False,True,True,True,True,True,True,False,Ready to Move,5500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12678,Mumbai,Thane,Kalyan West,Apartment,1,585.0,4.0,8.0,Semi-Furnished,East,1.0,False,True,True,True,True,True,True,True,Ready to Move,4200000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12677,Mumbai,Thane,Kalyan West,Apartment,1,370.0,16.0,22.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,True,True,Under Construction,3449000.0,Godrej Riviera,Godrej Properties,0,True,False,False
12676,Mumbai,Thane,Kalyan West,Apartment,1,430.0,5.0,7.0,Unfurnished,West,1.0,False,True,True,True,True,True,True,False,Ready to Move,5000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12675,Mumbai,Thane,Kalyan West,Apartment,1,370.0,10.0,30.0,Furnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,2990000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12674,Mumbai,Thane,Kalyan West,Apartment,2,570.0,10.0,30.0,Semi-Furnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,4190000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12673,Mumbai,Thane,Kalyan West,Apartment,1,595.0,9.0,19.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,True,False,Ready to Move,4900000.0,Rosalie,Tharwani Infrastructures,3,True,False,False
12672,Mumbai,Thane,Kalyan West,Apartment,1,450.0,2.0,3.0,Unfurnished,North - East,1.0,True,True,False,False,False,True,True,False,Ready to Move,2187500.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12671,Mumbai,Thane,Kalyan West,Apartment,1,462.0,16.0,18.0,Unfurnished,North - West,1.0,False,True,True,True,True,True,True,False,Ready to Move,4700000.0,Guru Atman,Gurukrupa Group,3,True,False,False
12670,Mumbai,Thane,Kalyan West,Apartment,3,980.0,9.0,26.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,False,Under Construction,10450000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12669,Mumbai,Thane,Kalyan West,Apartment,3,927.0,18.0,36.0,Unfurnished,East,3.0,True,True,True,True,True,True,True,False,Under Construction,12000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12668,Mumbai,Thane,Kalyan West,Apartment,2,650.0,9.0,23.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,False,Under Construction,7000000.0,Guru Atman,Gurukrupa Group,0,True,False,False
12667,Mumbai,Thane,Kalyan West,Apartment,2,761.0,9.0,15.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,7000000.0,Riverview Classic,Rutu Group,0,True,False,False
12666,Mumbai,Thane,Kalyan West,Apartment,1,460.0,4.0,21.0,Unfurnished,North - East,2.0,False,True,True,True,True,True,True,False,Ready to Move,4800000.0,Ajmera New Era,Ajmera Realty & Infra India Ltd.,3,True,False,False
12665,Mumbai,Thane,Kalyan West,Apartment,2,661.0,20.0,38.0,Semi-Furnished,North - West,2.0,True,True,True,True,True,True,True,True,Under Construction,9500000.0,Birla Vanya,Birla Estates,0,True,False,False
12664,Mumbai,Thane,Kalyan West,Apartment,2,709.0,18.0,27.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,7499000.0,One Kalyan,Ajmera Realty & Infra India Ltd.,0,True,False,False
12663,Mumbai,Thane,Kalyan West,Apartment,1,450.0,5.0,21.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Ready to Move,4500000.0,Ajmera Bliss,Ajmera Realty & Infra India Ltd.,3,True,False,False
12662,Mumbai,Thane,Kalyan West,Apartment,1,367.0,18.0,33.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,4300000.0,Godrej Upavan,Godrej Properties,0,True,False,False
12661,Mumbai,Thane,Kalyan West,Apartment,1,390.0,11.0,29.0,Furnished,East,2.0,True,True,True,False,True,False,False,False,Under Construction,3950000.0,Tycoons Square,Tycoons Group,0,True,False,False
12660,Mumbai,Thane,Kalyan West,Apartment,1,467.0,21.0,30.0,Semi-Furnished,North - East,2.0,True,True,True,True,True,True,True,False,Ready to Move,3600000.0,Raunak Urban Centre,Raunak Group,3,True,False,False
12659,Mumbai,Thane,Kalyan West,Apartment,1,460.0,5.0,7.0,Unfurnished,East,1.0,False,True,True,True,True,True,True,False,Ready to Move,3580000.0,Vaibhavi City,Vaishnavi Developers,3,True,False,False
12658,Mumbai,Thane,Kalyan West,Apartment,3,1385.0,7.0,36.0,Unfurnished,East,3.0,True,True,True,True,True,True,True,True,Under Construction,14796000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12657,Mumbai,Thane,Kalyan West,Apartment,2,505.0,3.0,14.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,4300000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12656,Mumbai,Thane,Kalyan West,Apartment,1,384.0,10.0,23.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,4185500.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12655,Mumbai,Thane,Kalyan West,Apartment,2,667.0,16.0,18.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,6570000.0,Tycoons Solitaire Sapphire,Tycoons Group,0,True,False,False
12654,Mumbai,Thane,Kalyan West,Apartment,2,550.0,1.0,7.0,Unfurnished,East,2.0,False,True,True,True,True,True,True,False,Ready to Move,5500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12653,Mumbai,Thane,Kalyan West,Apartment,1,585.0,4.0,8.0,Semi-Furnished,East,1.0,False,True,True,True,True,True,True,True,Ready to Move,4200000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12652,Mumbai,Thane,Kalyan West,Apartment,1,370.0,16.0,22.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,True,True,Under Construction,3449000.0,Godrej Riviera,Godrej Properties,0,True,False,False
12651,Mumbai,Thane,Kalyan West,Apartment,1,430.0,5.0,7.0,Unfurnished,West,1.0,False,True,True,True,True,True,True,False,Ready to Move,5000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12650,Mumbai,Thane,Kalyan West,Apartment,1,370.0,10.0,30.0,Furnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,2990000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
